domain,instance,steps
blocksworld,p04.pddl,10
blocksworld,p02.pddl,12
blocksworld,p01.pddl,8
blocksworld,p03.pddl,4
blocksworld,p12.pddl,22
blocksworld,p10.pddl,28
blocksworld,p11.pddl,22
blocksworld,p09.pddl,20
blocksworld,p07.pddl,14
blocksworld,p08.pddl,18
blocksworld,p05.pddl,12
blocksworld,p06.pddl,22
blocksworld,p15.pddl,28
blocksworld,p16.pddl,18
blocksworld,p14.pddl,34
blocksworld,p13.pddl,28
logistics,p15.pddl,39
logistics,p16.pddl,40
logistics,p14.pddl,38
logistics,p13.pddl,34
logistics,p04.pddl,21
logistics,p02.pddl,17
logistics,p01.pddl,10
logistics,p03.pddl,7
logistics,p07.pddl,21
logistics,p08.pddl,16
logistics,p05.pddl,14
logistics,p06.pddl,23
logistics,p19.pddl,47
logistics,p18.pddl,39
logistics,p12.pddl,36
logistics,p10.pddl,37
logistics,p11.pddl,42
logistics,p09.pddl,37
miconic,p04.pddl,14
miconic,p02.pddl,12
miconic,p01.pddl,14
miconic,p03.pddl,12
miconic,p15.pddl,51
miconic,p16.pddl,51
miconic,p14.pddl,53
miconic,p13.pddl,53
miconic,p20.pddl,65
miconic,p19.pddl,65
miconic,p18.pddl,69
miconic,p12.pddl,39
miconic,p10.pddl,39
miconic,p11.pddl,36
miconic,p09.pddl,40
miconic,p07.pddl,23
miconic,p08.pddl,25
miconic,p05.pddl,27
miconic,p06.pddl,26
spanner,p07.pddl,26
spanner,p08.pddl,26
spanner,p05.pddl,26
spanner,p06.pddl,26
spanner,p04.pddl,14
spanner,p02.pddl,14
spanner,p01.pddl,14
spanner,p03.pddl,14
